lambda,transmittance,rsr,tau_wvp,tau_other_gas
3.901,0.8415996,0.010180997050880058,0.11067275,0.061778136
3.9026952,0.8617466,0.010834179450652156,0.06771385,0.0810802
3.9043899,0.8790219,0.011632195818239172,0.020901628,0.10804386
3.906085,0.86245406,0.012595469092873892,0.015957925,0.13201542
3.90778,0.85726315,0.01355873607243934,0.015865937,0.13814439
3.909475,0.82906294,0.014522139050977389,0.017516928,0.16994232
3.91117,0.8009774,0.015510937387758134,0.034464058,0.18745843
3.912865,0.8167091,0.016760560618142652,0.028188879,0.17428347
3.91456,0.8215836,0.01804470428149273,0.015996251,0.18052533
3.916255,0.8015164,0.019328682684056978,0.03409348,0.18715627
3.91795,0.7965535,0.02061270849384971,0.042491354,0.18496954
3.919645,0.81107587,0.02216399107226207,0.022415655,0.18697801
3.92134,0.78801954,0.023980177073041203,0.05140949,0.18682283
3.923035,0.78417796,0.025796974980107433,0.060166758,0.18295252
3.92473,0.77930444,0.027614034273349696,0.063245445,0.18610795
3.926425,0.78713167,0.029568168349860542,0.054920483,0.18443924
3.9281201,0.817127,0.032156878760775526,0.020740554,0.18122025
3.929815,0.8102416,0.03486630360896151,0.044005867,0.16641685
3.93151,0.83436984,0.03757574915982416,0.019746825,0.16133161
3.9332051,0.8423913,0.04028686965249022,0.016959393,0.15455133
3.9348998,0.8463715,0.04360325518390417,0.0191602,0.14763677
3.936595,0.8524907,0.04746435716391198,0.018099789,0.14149314
3.93829,0.8454195,0.0513264845713444,0.03157854,0.13634364
3.939985,0.86078215,0.05518805633808596,0.02082672,0.12908705
3.94168,0.8566937,0.05942106748352033,0.017035957,0.13763893
3.943375,0.86688,0.06532528781477978,0.020813286,0.12204145
3.94507,0.86524695,0.07149237981363235,0.034361005,0.11037929
3.946765,0.8505397,0.07765945390037055,0.05668231,0.10520181
3.9484599,0.87536174,0.08383285322861427,0.03204963,0.10106837
3.950155,0.88982296,0.09152290111993817,0.01853622,0.098196544
3.9518502,0.8725032,0.10040201907161278,0.038722508,0.097666435
3.9535449,0.8832659,0.10927864631887309,0.022874745,0.1012543
3.95524,0.8937837,0.11815787098432405,0.015901476,0.09638999
3.9569352,0.89936256,0.12741678382697466,0.016526144,0.08954291
3.9586298,0.88727814,0.1395076491568389,0.01585097,0.10374577
3.960325,0.89548886,0.15171463187599235,0.021742841,0.088642694
3.96202,0.8966247,0.16391990136723103,0.02426482,0.08485304
3.963715,0.9001576,0.17613396919712737,0.02073008,0.08445543
3.96541,0.9015503,0.19114491661555352,0.019062579,0.08457685
3.967105,0.900568,0.20809179000751202,0.019601552,0.08512795
3.9688,0.8974252,0.22504120128357946,0.021745864,0.08647968
3.9704952,0.8904826,0.24199061653442241,0.029629102,0.086362585
3.97219,0.8918682,0.25985914080833056,0.026287775,0.08814915
3.973885,0.8933686,0.28453821248900235,0.020348897,0.092407145
3.97558,0.8718473,0.30925876423726884,0.026027448,0.11111364
3.977275,0.88291293,0.33397932572187594,0.024960192,0.09956839
3.97897,0.89044404,0.3587098291401344,0.01695683,0.099078186
3.980665,0.8794422,0.3873404675687358,0.015966987,0.11250038
3.9823601,0.8816296,0.41830363205227267,0.01940319,0.1065801
3.984055,0.89015734,0.4492642781363547,0.018267183,0.098089926
3.98575,0.8878572,0.48022490069101886,0.019285493,0.099658936
3.987445,0.88803613,0.5109190626702019,0.017293783,0.10144899
3.9891398,0.8856278,0.540613352892316,0.018166179,0.10329229
3.990835,0.8813928,0.5702130869796955,0.020712448,0.10553955
3.99253,0.872559,0.5998128207699843,0.024858437,0.111466505
3.994225,0.8758062,0.6293617107232229,0.020225208,0.112385124
3.99592,0.8710583,0.6578182603590572,0.023342596,0.11470379
3.997615,0.875473,0.6855970194196237,0.018369159,0.11462179
3.99931,0.87254846,0.7133709578960855,0.018390374,0.11794672
4.0010047,0.868945,0.7411408704249833,0.018913012,0.12156233
4.0027,0.8632239,0.7675916098214092,0.022422312,0.12465882
4.004395,0.8583898,0.7905369744246804,0.02436611,0.12833086
4.00609,0.85866517,0.8131221544899412,0.018256985,0.13411923
4.007785,0.8415962,0.835700988215279,0.016357936,0.15609702
4.00948,0.8312388,0.8582602993374983,0.01656867,0.16826938
4.011175,0.84688073,0.8742315141160851,0.016338672,0.14985664
4.0128703,0.84548473,0.887190807310801,0.016266586,0.1515785
4.014565,0.84043264,0.9001464334402876,0.01679316,0.1570453
4.01626,0.83482796,0.9131041374031508,0.018332615,0.16219701
4.0179553,0.83148456,0.9255159853921118,0.017349293,0.16719328
4.01965,0.8257008,0.9362714110366612,0.01818556,0.17333722
4.021345,0.8178706,0.9469964749461454,0.021595072,0.17945606
4.02304,0.8122799,0.9577185411837429,0.02208669,0.18582363
4.024735,0.80986786,0.9684225621336976,0.017847205,0.19303691
4.02643,0.8031449,0.9732243554130107,0.018157683,0.20106252
4.028125,0.79526895,0.9757187530820066,0.02175725,0.2073176
4.02982,0.79435414,0.9782138723102343,0.016858395,0.21336757
4.031515,0.78893054,0.9807090807115446,0.01681311,0.22026381
4.03321,0.78264105,0.9831754168757716,0.01733953,0.2277416
4.034905,0.7704804,0.985446626366357,0.01966311,0.24107793
4.0366,0.7607036,0.9877125121100037,0.017945176,0.2555663
4.038295,0.7696953,0.9899777850487652,0.016601194,0.2451592
4.03999,0.7659389,0.9922241216447268,0.016461588,0.2501913
4.041685,0.75483245,0.9910498721404131,0.01651827,0.26474118
4.04338,0.75102603,0.9887944621990877,0.016598174,0.26971677
4.045075,0.7524839,0.9865383627162932,0.017134381,0.26724127
4.04677,0.75063777,0.9842822658763211,0.021244003,0.26558802
4.0484653,0.7519899,0.9812236270376323,0.017921366,0.26711097
4.05016,0.7489368,0.9763174325014673,0.020955801,0.26814494
4.051855,0.75018084,0.9714191246205041,0.01782594,0.2696151
4.0535502,0.74933594,0.9665208232092918,0.01815487,0.27041304
4.055245,0.7486892,0.9617354407030885,0.018512905,0.27091852
4.05694,0.7502223,0.9579035131563979,0.01807497,0.26931074
4.058635,0.7500255,0.9543542759743636,0.020313611,0.26733452
4.06033,0.7508408,0.950805665711234,0.019315595,0.267246
4.062025,0.75229585,0.9472561828046019,0.016948624,0.26767695
4.0637197,0.74465466,0.9452814983014723,0.0170105,0.27782416
4.065415,0.7308701,0.9462999049432866,0.016929572,0.2965899
4.06711,0.72897345,0.9474912454421098,0.017404845,0.29871315
4.0688047,0.7216732,0.9486822849612967,0.017764237,0.30841857
4.0705,0.7156153,0.9499107230550204,0.017388476,0.31722403
4.072195,0.70885247,0.9511409629684447,0.016965896,0.32714194
4.0738897,0.7025172,0.9523067076604507,0.017056875,0.33602855
4.075585,0.6946309,0.9534727648593231,0.017655687,0.3467189
4.07728,0.6835841,0.9546334410845588,0.019123906,0.3612817
4.078975,0.68007237,0.9556635284898198,0.018959232,0.36659688
4.08067,0.6747899,0.9566838428463428,0.018501136,0.3748529
4.082365,0.67474186,0.9577056956200992,0.017702688,0.37572253
4.08406,0.6700249,0.9587275433344674,0.01720243,0.38323805
4.085755,0.6670008,0.9597490848470126,0.017578214,0.38738587
4.08745,0.661726,0.9600815394961189,0.019452121,0.3934517
4.089145,0.659496,0.9602864257472993,0.017351909,0.39892754
4.09084,0.6568694,0.9604912627143187,0.017210094,0.40306017
4.092535,0.6546551,0.9606945480830473,0.017260484,0.40638632
4.09423,0.6509274,0.9612939411080526,0.017545108,0.4118122
