lambda,transmittance,rsr,tau_wvp,tau_other_gas
0.492,0.99093556,0.04044982300047631,0.00016206363,0.008943763
0.494,0.9905053,0.10973111731348678,7.989073e-05,0.0094601335
0.496,0.9901836,0.17913609122104618,2.4994268e-05,0.009839995
0.498,0.9897093,0.24854106512860558,0.00012579946,0.010218226
0.5,0.9881599,0.317946039036165,0.0005914745,0.011319214
0.502,0.9834386,0.3873499787311164,0.0031342711,0.013565809
0.504,0.9747332,0.4567559868512837,0.010426309,0.015165232
0.506,0.9775304,0.5261599265462351,0.007201678,0.015524242
0.508,0.97839177,0.5629005514535191,0.0067007276,0.015144425
0.51,0.9819964,0.5667876799430003,0.0031705254,0.014997152
0.512,0.9843784,0.5706749242794295,0.0010427568,0.014702126
0.514,0.9848537,0.5745620527689106,0.00027799478,0.014984167
0.516,0.9845138,0.5784491812583918,9.556594e-05,0.015511729
0.518,0.9838647,0.5823364255948209,5.3872438e-05,0.01621298
0.52,0.98271227,0.5862235540843022,3.3575147e-05,0.017405394
0.522,0.98220384,0.5901107984207312,7.564202e-05,0.017880784
0.524,0.98006576,0.5910640828449703,0.00067269686,0.019462965
0.526,0.97793484,0.592012125155172,0.0005125996,0.021799639
0.528,0.9759653,0.5929601392119895,0.00046888014,0.02385929
0.53,0.9743471,0.593908153268807,0.00043280172,0.025554879
0.532,0.9731273,0.5948561955790088,0.00027182352,0.026968583
0.534,0.97283876,0.5958042096358263,0.0001509051,0.027386086
0.536,0.9736801,0.596752251946028,0.00024355612,0.026429027
0.538,0.9733029,0.6006807686348796,0.00062441983,0.02643557
0.54,0.97118664,0.6075874454604636,0.0025771412,0.026659444
0.542,0.9679623,0.6144939164545226,0.00481174,0.027750432
0.544,0.96798,0.6214005932801067,0.003914247,0.028629543
0.546,0.9668813,0.6283070642741656,0.0042762496,0.029403426
0.548,0.96815467,0.6352135352682244,0.0022046175,0.030158771
0.55,0.9687751,0.6421202120938085,0.0012031413,0.03051963
0.552,0.9688562,0.6489977180789388,0.0004649912,0.031174084
0.554,0.9683199,0.6488092438170189,0.0001480067,0.032044787
0.556,0.96775067,0.6486207751719746,5.1621246e-05,0.032729156
0.558,0.9660598,0.6484323009100547,6.970427e-05,0.034459844
0.56,0.9642352,0.6482438322650104,0.00017361411,0.036246482
0.562,0.96201825,0.6480553636199661,0.00025324506,0.038468532
0.564,0.95965743,0.6478668893580461,0.00025052135,0.04092835
0.566,0.9574849,0.6476784207130019,0.0006218733,0.042823423
0.568,0.9503935,0.6484154825100236,0.0055197473,0.04535947
0.57,0.94471467,0.6500774629818197,0.008404049,0.048468314
0.572,0.94348353,0.6517394929851312,0.0060611004,0.05211533
0.574,0.9409846,0.6534014734569272,0.0061826776,0.054645836
0.576,0.94117814,0.6550634539287233,0.004529,0.056093812
0.578,0.9428479,0.6567254839320349,0.002775818,0.056074455
0.58,0.9481508,0.658387464403831,0.0013320635,0.051909544
0.582,0.9534388,0.6600494944071426,0.0012720713,0.046407893
0.584,0.95610684,0.6648507241020968,0.001867079,0.0430185
0.586,0.9547537,0.6696613905750548,0.004982832,0.041319046
0.588,0.93078345,0.6744719136814066,0.031493727,0.04023487
0.59,0.9079641,0.6792824367877582,0.05640636,0.04014404
0.592,0.9136319,0.6840931032607163,0.049749695,0.04057778
0.594,0.9172381,0.688903626367068,0.0448262,0.041561995
0.596,0.92484933,0.6937142928400261,0.035194464,0.042929966
0.598,0.9344679,0.7005627519752624,0.023112064,0.04466595
0.6,0.9442825,0.7094865554778514,0.01126761,0.046062384
0.602,0.95076877,0.7184100930348734,0.00387351,0.04661092
0.604,0.95348567,0.7273336305918954,0.0011662262,0.046464693
0.606,0.9546915,0.7362574340944843,0.0004082613,0.04595868
0.608,0.95615447,0.7451809716515063,0.00014946419,0.04468642
0.61,0.95757824,0.7541047751540952,6.4805165e-05,0.043283053
0.612,0.9586412,0.7630234700938847,3.045351e-05,0.04220802
0.614,0.9599226,0.7688243174764186,2.1117483e-05,0.04088143
0.616,0.96071064,0.7746249919831549,2.2669068e-05,0.04005935
0.618,0.96155906,0.7804256664898913,3.2570682e-05,0.039166715
