lambda,transmittance,rsr,tau_wvp,tau_other_gas
3.473,0.7213239,0.01006812578764257,0.27036193,0.056305002
3.475675,0.81417745,0.011364446692622784,0.09060349,0.114973396
3.4783502,0.77278423,0.012927091467597159,0.061437313,0.196318
3.481025,0.8435736,0.014831996745664516,0.091592215,0.07851588
3.4837,0.8579125,0.016999795065111085,0.11480223,0.038451016
3.486375,0.83741724,0.019458051469588834,0.10262373,0.07480911
3.4890501,0.75650835,0.022322083386022516,0.14499277,0.13404892
3.4917252,0.7604514,0.025540671698466185,0.16820407,0.105639085
3.4943998,0.86630017,0.029178246912117903,0.07993899,0.06358492
3.4970748,0.8982916,0.03337485723014038,0.07803858,0.029222041
3.49975,0.8585441,0.038678835932413676,0.094939105,0.057578202
3.502425,0.78982824,0.045049073464873544,0.17719118,0.058748547
3.5051,0.88609487,0.05216555293154319,0.0599735,0.06095779
3.5077748,0.8636656,0.06097205360355944,0.13085382,0.015715748
3.51045,0.8506132,0.0710828477940186,0.122105844,0.039691977
3.513125,0.8287668,0.08174846014486424,0.16035986,0.027456552
3.5158,0.7791462,0.09583588585076744,0.22926961,0.02028697
3.518475,0.83412623,0.11281158750180362,0.16070826,0.020662261
3.5211499,0.86543393,0.1304490042150679,0.120082915,0.02444124
3.523825,0.81268084,0.1511784938164043,0.19672704,0.010689768
3.5265,0.8180653,0.17500867104587006,0.15297121,0.04784192
3.529175,0.79663813,0.20129428611088485,0.18660001,0.040754735
3.53185,0.79892874,0.23049502067998198,0.16597277,0.058510732
3.534525,0.73711365,0.26288495285464225,0.19495635,0.11005692
3.5372,0.71123743,0.29845459278405073,0.24813981,0.09260904
3.539875,0.64281183,0.33550242939869207,0.3018433,0.14006004
3.54255,0.6760327,0.37487924218329227,0.26160654,0.12990731
3.5452251,0.7338058,0.4175241229583293,0.2086142,0.1008968
3.5479,0.77860135,0.46145651055866493,0.16220152,0.08805458
3.550575,0.77304524,0.5032470392059151,0.20992391,0.04749374
3.55325,0.64295495,0.5384108480128791,0.38741723,0.05426349
3.5559251,0.67577255,0.5726904691610618,0.3482817,0.0436171
3.5586002,0.749149,0.6023632108177125,0.24631605,0.04250134
3.561275,0.86253256,0.6237947814031897,0.10683323,0.041049168
3.56395,0.8991223,0.6479308920993683,0.04534853,0.060987756
3.566625,0.74719536,0.6756392560926837,0.1922723,0.09915629
3.5693,0.5874275,0.702795639690608,0.4986631,0.03333953
3.571975,0.76380116,0.7231116814710035,0.17011322,0.09933449
3.5746498,0.6193592,0.7354406242454758,0.3540896,0.12498048
3.5773249,0.7881087,0.7425664738667808,0.1732534,0.064865865
3.58,0.85434234,0.7516053716035783,0.079494946,0.0779284
3.582675,0.71944916,0.7651900175947703,0.26125517,0.06801421
